chromosome	start	end	region_name
chr10	100009946	100009948	chr10_100009946_100009948_predictions
chr10	100081868	100081870	chr10_100081868_100081870_predictions
chr10	100186028	100186030	chr10_100186028_100186030_predictions
chr10	100229595	100229597	chr10_100229595_100229597_predictions
chr10	100267637	100267639	chr10_100267637_100267639_predictions
chr10	100286679	100286681	chr10_100286679_100286681_predictions
chr10	100330227	100330229	chr10_100330227_100330229_predictions
chr10	100347232	100347234	chr10_100347232_100347234_predictions
chr10	100463008	100463010	chr10_100463008_100463010_predictions
chr10	100519860	100519862	chr10_100519860_100519862_predictions
chr10	100529870	100529872	chr10_100529870_100529872_predictions
chr10	100535942	100535944	chr10_100535942_100535944_predictions
chr10	100745581	100745583	chr10_100745581_100745583_predictions
chr10	100912962	100912964	chr10_100912962_100912964_predictions
chr10	100969503	100969505	chr10_100969503_100969505_predictions
chr10	100987496	100987498	chr10_100987496_100987498_predictions
chr10	100987542	100987544	chr10_100987542_100987544_predictions
chr10	100999807	100999809	chr10_100999807_100999809_predictions
chr10	101031128	101031130	chr10_101031128_101031130_predictions
chr10	101031233	101031235	chr10_101031233_101031235_predictions
chr10	101061988	101061990	chr10_101061988_101061990_predictions
chr10	101131299	101131301	chr10_101131299_101131301_predictions
chr10	101229462	101229464	chr10_101229462_101229464_predictions
chr10	101354164	101354166	chr10_101354164_101354166_predictions
chr10	101588256	101588258	chr10_101588256_101588258_predictions
chr10	101588320	101588322	chr10_101588320_101588322_predictions
chr10	101695169	101695171	chr10_101695169_101695171_predictions
chr10	101776113	101776115	chr10_101776113_101776115_predictions
chr10	101783445	101783447	chr10_101783445_101783447_predictions
chr10	101818443	101818445	chr10_101818443_101818445_predictions
chr10	101843799	101843801	chr10_101843799_101843801_predictions
chr10	102056172	102056174	chr10_102056172_102056174_predictions
chr10	102065348	102065350	chr10_102065348_102065350_predictions
chr10	102120367	102120369	chr10_102120367_102120369_predictions
chr10	102133039	102133041	chr10_102133039_102133041_predictions
chr10	102152388	102152390	chr10_102152388_102152390_predictions
chr10	102226298	102226300	chr10_102226298_102226300_predictions
chr10	102241511	102241513	chr10_102241511_102241513_predictions
chr10	102245531	102245533	chr10_102245531_102245533_predictions
chr10	102395704	102395706	chr10_102395704_102395706_predictions
chr10	102418784	102418786	chr10_102418784_102418786_predictions
chr10	102420835	102420837	chr10_102420835_102420837_predictions
chr10	102432573	102432575	chr10_102432573_102432575_predictions
chr10	102451542	102451544	chr10_102451542_102451544_predictions
chr10	102461394	102461396	chr10_102461394_102461396_predictions
chr10	102502711	102502713	chr10_102502711_102502713_predictions
chr10	102503971	102503973	chr10_102503971_102503973_predictions
chr10	1025858	1025860	chr10_1025858_1025860_predictions
chr10	102644478	102644480	chr10_102644478_102644480_predictions
chr10	102714396	102714398	chr10_102714396_102714398_predictions
chr10	102714635	102714637	chr10_102714635_102714637_predictions
chr10	102743947	102743949	chr10_102743947_102743949_predictions
chr10	102837412	102837414	chr10_102837412_102837414_predictions
chr10	102854258	102854260	chr10_102854258_102854260_predictions
chr10	102869469	102869471	chr10_102869469_102869471_predictions
chr10	102918293	102918295	chr10_102918293_102918295_predictions
chr10	103193271	103193273	chr10_103193271_103193273_predictions
chr10	103245886	103245888	chr10_103245886_103245888_predictions
chr10	103277137	103277139	chr10_103277137_103277139_predictions
chr10	103351139	103351141	chr10_103351139_103351141_predictions
chr10	103367975	103367977	chr10_103367975_103367977_predictions
chr10	103396474	103396476	chr10_103396474_103396476_predictions
chr10	103396625	103396627	chr10_103396625_103396627_predictions
chr10	103452369	103452371	chr10_103452369_103452371_predictions
chr10	103458899	103458901	chr10_103458899_103458901_predictions
chr10	103479239	103479241	chr10_103479239_103479241_predictions
chr10	103493704	103493706	chr10_103493704_103493706_predictions
chr10	103855575	103855577	chr10_103855575_103855577_predictions
chr10	103918183	103918185	chr10_103918183_103918185_predictions
chr10	103967139	103967141	chr10_103967139_103967141_predictions
chr10	104085879	104085881	chr10_104085879_104085881_predictions
chr10	104122170	104122172	chr10_104122170_104122172_predictions
chr10	104232363	104232365	chr10_104232363_104232365_predictions
chr10	104254891	104254893	chr10_104254891_104254893_predictions
chr10	104269183	104269185	chr10_104269183_104269185_predictions
chr10	104338464	104338466	chr10_104338464_104338466_predictions
chr10	104353832	104353834	chr10_104353832_104353834_predictions
chr10	104641289	104641291	chr10_104641289_104641291_predictions
chr10	1049118	1049120	chr10_1049118_1049120_predictions
chr10	1056384	1056386	chr10_1056384_1056386_predictions
chr10	107164705	107164707	chr10_107164705_107164707_predictions
chr10	109923510	109923512	chr10_109923510_109923512_predictions
chr10	110007983	110007985	chr10_110007983_110007985_predictions
chr10	11017871	11017873	chr10_11017871_11017873_predictions
chr10	110207604	110207606	chr10_110207604_110207606_predictions
chr10	110304919	110304921	chr10_110304919_110304921_predictions
chr10	110497906	110497908	chr10_110497906_110497908_predictions
chr10	110567694	110567696	chr10_110567694_110567696_predictions
chr10	110644335	110644337	chr10_110644335_110644337_predictions
chr10	110871927	110871929	chr10_110871927_110871929_predictions
chr10	110919179	110919181	chr10_110919179_110919181_predictions
chr10	110919603	110919605	chr10_110919603_110919605_predictions
chr10	111077028	111077030	chr10_111077028_111077030_predictions
chr10	112183764	112183766	chr10_112183764_112183766_predictions
chr10	112283399	112283401	chr10_112283399_112283401_predictions
chr10	112374115	112374117	chr10_112374115_112374117_predictions
chr10	112446913	112446915	chr10_112446913_112446915_predictions
chr10	112447214	112447216	chr10_112447214_112447216_predictions
chr10	112950246	112950248	chr10_112950246_112950248_predictions
chr10	113553052	113553054	chr10_113553052_113553054_predictions
chr10	113664040	113664042	chr10_113664040_113664042_predictions
chr10	113679911	113679913	chr10_113679911_113679913_predictions
chr10	113751681	113751683	chr10_113751681_113751683_predictions
chr10	113854081	113854083	chr10_113854081_113854083_predictions
chr10	113854660	113854662	chr10_113854660_113854662_predictions
chr10	114043865	114043867	chr10_114043865_114043867_predictions
chr10	114174202	114174204	chr10_114174202_114174204_predictions
chr10	114179352	114179354	chr10_114179352_114179354_predictions
chr10	114239253	114239255	chr10_114239253_114239255_predictions
chr10	114404501	114404503	chr10_114404501_114404503_predictions
chr10	114658274	114658276	chr10_114658274_114658276_predictions
chr10	114821779	114821781	chr10_114821779_114821781_predictions
chr10	114938194	114938196	chr10_114938194_114938196_predictions
chr10	115093364	115093366	chr10_115093364_115093366_predictions
chr10	11611649	11611651	chr10_11611649_11611651_predictions
chr10	116273205	116273207	chr10_116273205_116273207_predictions
chr10	116324447	116324449	chr10_116324447_116324449_predictions
chr10	116427846	116427848	chr10_116427846_116427848_predictions
chr10	116545930	116545932	chr10_116545930_116545932_predictions
chr10	116590958	116590960	chr10_116590958_116590960_predictions
chr10	116669965	116669967	chr10_116669965_116669967_predictions
chr10	116742565	116742567	chr10_116742565_116742567_predictions
chr10	116849498	116849500	chr10_116849498_116849500_predictions
chr10	117005186	117005188	chr10_117005186_117005188_predictions
chr10	117138269	117138271	chr10_117138269_117138271_predictions
chr10	117197488	117197490	chr10_117197488_117197490_predictions
chr10	117241113	117241115	chr10_117241113_117241115_predictions
chr10	117375439	117375441	chr10_117375439_117375441_predictions
chr10	11742381	11742383	chr10_11742381_11742383_predictions
chr10	117542745	117542747	chr10_117542745_117542747_predictions
chr10	118046940	118046942	chr10_118046940_118046942_predictions
chr10	11823355	11823357	chr10_11823355_11823357_predictions
chr10	118342323	118342325	chr10_118342323_118342325_predictions
chr10	118595647	118595649	chr10_118595647_118595649_predictions
chr10	118754969	118754971	chr10_118754969_118754971_predictions
chr10	119029713	119029715	chr10_119029713_119029715_predictions
chr10	119080816	119080818	chr10_119080816_119080818_predictions
chr10	119104112	119104114	chr10_119104112_119104114_predictions
chr10	119165713	119165715	chr10_119165713_119165715_predictions
chr10	119178811	119178813	chr10_119178811_119178813_predictions
chr10	119207570	119207572	chr10_119207570_119207572_predictions
chr10	119542718	119542720	chr10_119542718_119542720_predictions
chr10	119596963	119596965	chr10_119596963_119596965_predictions
chr10	119651379	119651381	chr10_119651379_119651381_predictions
chr10	119726049	119726051	chr10_119726049_119726051_predictions
chr10	119872842	119872844	chr10_119872842_119872844_predictions
chr10	119892729	119892731	chr10_119892729_119892731_predictions
chr10	12042808	12042810	chr10_12042808_12042810_predictions
chr10	120457226	120457228	chr10_120457226_120457228_predictions
chr10	12068953	12068955	chr10_12068953_12068955_predictions
chr10	120851361	120851363	chr10_120851361_120851363_predictions
chr10	12129676	12129678	chr10_12129676_12129678_predictions
chr10	121598443	121598445	chr10_121598443_121598445_predictions
chr10	121928030	121928032	chr10_121928030_121928032_predictions
chr10	12195890	12195892	chr10_12195890_12195892_predictions
